noise,Ld,cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,3,100,0,2.984436333486557,3.249391885543168,0.007936174814231308,0,217.95236390173224,-0.0013250297217220354,1.9999994712798987
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,3,300,0,2.9825818321812245,3.246775650857954,0.01014065122743198,0,217.009917505764,-0.0013250297217220354,1.9999994712798987
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,3,1000,0,2.9675705003420236,3.232417353007185,0.011524186022733984,0,215.86009175332478,-0.0013250297217220354,1.9999994712798987
0,0.00001,3,3,120,9,69.44444444444444,3.4,-0.8,0.2,0,3,3000,0,2.967204853636468,3.2320533945865506,0.011530979425660616,0,215.832011832277,-0.0013250297217220354,1.9999994712798987
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,1,1,0,2.323141244672444,2.373756268128218,0.005636428607458528,0,70.41308336360883,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,1,3,0,3.102034308286285,3.23259166516112,0.015539946996235362,0,93.73685617195108,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,1,10,0,4.2665403599002865,4.4864569165737045,0.029332352057299713,0,129.9738707103093,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,1,30,0,4.441237385809203,4.67143189829963,0.09016171619926938,0,136.1714925863207,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,1,100,0.3333333333333333,4.501129984504399,4.712219423644229,5.331664168700752,0.5,271.43056480256337,NaN,NaN
0,0.00001,3,3,120,9,69.44444444444444,4,-0.8,0.2,0,1,300,0.3333333333333333,4.517032455750475,4.7265453563592175,5.242807187205663,0.5,279.1836560164068,NaN,NaN
